iter	RMSE
0	47.90315654
1	47.8208957
2	47.74305037
3	47.67464624
4	47.61196183
5	47.5530339
6	47.50024149
7	47.44970427
8	47.40182327
9	47.3588954
10	47.32031835
11	47.28249967
12	47.24850556
13	47.21491666
14	47.18434671
15	47.15559951
16	47.13017494
17	47.10543395
18	47.08304143
19	47.06073094
20	47.03959049
21	47.01890871
22	46.9998335
23	46.98233756
24	46.96301615
25	46.94665887
26	46.93033926
27	46.91462303
28	46.8996808
29	46.88560576
30	46.87233747
31	46.85798801
32	46.84588594
33	46.8340805
34	46.82271106
35	46.81170423
36	46.80090549
37	46.790513
38	46.78153246
39	46.77274741
40	46.76194449
41	46.75283283
42	46.74279312
43	46.73352681
44	46.72453604
45	46.71542711
46	46.70750794
47	46.698492
48	46.68947075
49	46.68216765
50	46.6747207
51	46.66685892
52	46.66002342
53	46.65392325
54	46.64712933
55	46.64091641
