iter	Passed	Remaining
0	5509	5504443
1	9536	4758471
2	12497	4153319
3	14875	3704051
4	17574	3497313
5	20041	3320254
6	22188	3147544
7	25607	3175278
8	28068	3090660
9	30202	2990086
10	32686	2938784
11	35361	2911466
12	37689	2861519
13	39838	2805769
14	42475	2789207
15	44767	2753226
16	47510	2747239
17	50559	2758318
18	52720	2722029
19	55528	2720897
20	57720	2690853
21	60217	2676943
22	63344	2690746
23	66484	2703704
24	68962	2689548
25	71788	2689322
26	74210	2674313
27	76978	2672269
28	80052	2680389
29	82166	2656716
30	84954	2655521
31	86987	2631375
32	89520	2623235
33	91902	2611116
34	95312	2627898
35	97277	2604871
36	100239	2608935
37	103180	2612093
38	105890	2609246
39	108106	2594564
40	110222	2578122
41	112890	2574969
42	115503	2570627
43	117773	2558894
44	119981	2546269
45	123024	2551411
46	126416	2563297
47	129500	2568432
48	132098	2563780
49	134682	2558961
50	137248	2553899
51	140133	2554743
52	142549	2547059
53	145428	2547685
54	148850	2557523
55	151817	2559203
